<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Bahman.Inv.,20200330,6380.00,6380.00,6110.00,6211.00,13579967085,2192596,579,D,6217.00,6190.00
Bahman.Inv.,20200329,6380.00,6410.00,6150.00,6217.00,15336752945,2437929,658,D,6186.00,6200.00
Bahman.Inv.,20200328,6332.00,6398.00,6152.00,6186.00,23392261652,3722714,873,D,6105.00,6300.00
Bahman.Inv.,20200325,6109.00,6247.00,5981.00,6105.00,26273915631,4301073,775,D,6101.00,6220.00
Bahman.Inv.,20200324,6118.00,6370.00,5886.00,6101.00,5339924102,886041,369,D,6110.00,5981.00
Bahman.Inv.,20200318,5840.00,6120.00,5840.00,6110.00,6604711353,1104237,406,D,6131.00,6050.00
Bahman.Inv.,20200317,6015.00,6200.00,5905.00,6131.00,12774061971,2159955,307,D,6215.00,5953.00
Bahman.Inv.,20200316,6012.00,6320.00,6012.00,6215.00,19635189782,3241469,587,D,6328.00,6012.00
Bahman.Inv.,20200315,6042.00,6400.00,6042.00,6328.00,4716572855,779179,260,D,6359.00,6043.00
Bahman.Inv.,20200314,6154.00,6250.00,6116.00,6359.00,12510797590,2037900,297,D,6437.00,6116.00
Bahman.Inv.,20200311,6154.00,6400.00,6153.00,6437.00,7395086383,1186565,414,D,6476.00,6153.00
Bahman.Inv.,20200310,6260.00,6501.00,6260.00,6476.00,19615559123,3104076,479,D,6589.00,6260.00
Bahman.Inv.,20200309,6351.00,6351.00,6295.00,6589.00,5388756763,854424,310,D,6626.00,6295.00
Bahman.Inv.,20200307,6405.00,6600.00,6404.00,6626.00,22074111304,3401009,688,D,6741.00,6415.00
Bahman.Inv.,20200304,6617.00,6780.00,6600.00,6741.00,19287181064,2905148,929,D,6808.00,6650.00
Bahman.Inv.,20200303,7000.00,7039.00,6600.00,6808.00,20318762613,2994155,970,D,6824.00,6700.00
Bahman.Inv.,20200302,6743.00,7038.00,6743.00,6824.00,23985596189,3469554,743,D,6743.00,6918.00
Bahman.Inv.,20200301,6879.00,6880.00,6645.00,6743.00,21586142578,3201095,879,D,6606.00,6730.00
Bahman.Inv.,20200229,6911.00,6919.00,6520.00,6606.00,19562179359,2961273,797,D,6863.00,6644.00
Bahman.Inv.,20200226,6872.00,6872.00,6621.00,6860.00,19125414170,2788126,603,D,6545.00,6872.00
Bahman.Inv.,20200225,6530.00,6569.00,6455.00,6545.00,18231759262,2785502,525,D,6257.00,6569.00
Bahman.Inv.,20200224,6241.00,6382.00,6001.00,6257.00,14827679952,2369936,635,D,6294.00,6370.00
Bahman.Inv.,20200223,6223.00,6406.00,6200.00,6294.00,8123147375,1290708,450,D,6101.00,6200.00
Bahman.Inv.,20200222,5945.00,6249.00,5945.00,6101.00,10566325576,1731943,677,D,6257.00,6222.00
